Influencer Name,Roken2 Tag,User Id,Pinterest_id
Lee Malcher,3hwzkq71,carhoots,carhoots
Heather Clawson,aGFiaXR1YWxseWNoaWM=,HabituallyChic-us,habituallychic
,P3t1c2VybmFtZX0=,Unknown,
Caroline Myss,Q2Fyb2xpbmUgTXlzcw==,cmedcaroline,
Cassity KMetzsch,Q2Fzc2l0eSBLTWV0enNjaA==,remodelaholic,Remodelaholic
Cheryl Simmons,Q2hlcnlsIFNpbW1vbnM=,cherylds78,
Chris McConnell,Q2hyaXMgTWNDb25uZWxs,dailytekk_influencer,dailytekk
Chris Pirillo,Q2hyaXMgUGlyaWxsbw==,l0ckergn0me,chrispirillo
Christine Mikesell,Q2hyaXN0aW5lIE1pa2VzZWxs,15minutebeauty,15minbeauty
Amy Locurto,QW15IExvY3VydG8=,living-locurto,livinglocurto
Andrew Morinski,QW5kcmV3IE1vcmluc2tp,ridestory,ridestory
Marian Parsons,QW5kcmVhcyBBbmRyZWFz,miss_mustard_seed,missmustardseed
Aileen Allen,QWlsZWVuIEFsbGVu,alle_ailee,aileenallen
Aimee Santos,QWltZWUgU2FudG9z,swellmayde,swellmayde
Zack Klapman,QXJ0ZW1pc2EgU2F1Y2Vkbw==,hammeraclassic,
Justina Blakeney,R2FiaSBHcmVnZw==,justina-blakeney,compai
Grace Bonney,R3JhY2UgQm9ubmV5,Design*Sponge,designsponge
Dan Cohen,RGFuIENvaGVu,geardiary,geardiary
Devon Dyer,RGV2b24gRHllcg==,devon_rachel,DevonRachel1
Emily Hill,RW1pbHkgSGlsbA==,emiscollections,emiscollections
Kami Bigler,S2FtaSBCaWdsZXI=,nobiggie-net,nobiggie
KariAnne Wood,S2FyaUFubmUgV29vZA==,thistlewood2013,thistlewoodfarm
Kim Demmon,S2ltIERlbW1vbg==,Kim Demmon,todayscreative
Kelly Framel,S2VsbHkgRnJhbWVs,kellyframel,theglamourai
Hayley Corwick,SGF5bGV5IENvcndpY2s=,madisonavespy,
Heather Clawson,SGVhdGhlciBDbGF3c29u,HabituallyChic-us,habituallychic
Joanna Hawley,Sm9hbm5hIEhhd2xleQ==,joanhawl,jojotastic
JoLynne Shane,Sm9MeW5uZSBTaGFuZQ==,musingsofahousewife,jolynneshane
Jackie Trebilcock,SmFja2llIFRyZWJpbGNvY2s=,Jackie Trebilcock,psimadethis
James McBride,SmFtZXMgTWNCcmlkZQ==,james-silodrome,Silodrome
James Raia,SmFtZXMgUmFpYQ==,runningjamesmichael,
Jennifer Chong,SmVubmlmZXIgQ2hvbmc,jchongstudio,jchongdesign
Jennifer Chong,SmVubmlmZXIgQ2hvbmc=,jchongstudio,jchongdesign
Justin Livingston,SnVzdGluIExpdmluZ3N0b24=,living_style,Silodrome
Gabi Gregg,SnVzdGluYSBCbGFrZW5leQ==,gabi_fresh,gabifresh
Lee Malcher,TGVlIE1hbGNoZXI=,carhoots,carhoots
Natalie Liao,TmF0YWxpZSBMaWFv,nalieliblog,nalieli
Nina Russin,TmluYSBSdXNzaW4=,hninars13,
Andreas Andreas,TWFyaWFuIFBhcnNvbnM=,highsnobietymag,highsnobiety
Maraja Barna,TWFyYWphIEJhcm5h,mbmaki,
Megan Collins,TWVnYW4gQ29sbGlucw==,stylegirlfriend,stylegirlfriend
Melissa Michaels,TWVsaXNzYSBNaWNoYWVscw==,the_inspired_room,theinspiredroom
Melissa Will,TWVsaXNzYSBXaWxs,empressofdirtblog,empressofdirt
Sammy Davis,U2FtbXkgRGF2aXM=,SammyDavisVintage,sammydtv
Sashee Chandran,U2FzaGVlIENoYW5kcmFu,Sashee Chandran,
Summer Watkins,U3VtbWVyIFdhdGtpbnM=,greylikesweddings,greylikes
Tina Craig,VGluYSBDcmFpZw==,snobessentials,bagsnob
Traci French,VHJhY2kgRnJlbmNo,blissblog-us,tracif
Tyler Wiser,VHlsZXIgV2lzZXI=,TylerWislerHome,nydesignguy
,YmVhdXR5YmV0cw==,beautybets,beautybets
Melissa Will,ZW1wcmVzc29mZGlydA==,empressofdirtblog,empressofdirt
